X	Sodium	11	Na	139.0	28.0	440	0	22.5	22.0	0	NaOH	23Na
Na	11	440.0	0.2	100.0	0.0	f	23Na	f	440	f	N
Na	11	627.6	0.2	0.9	0.15	f	23Na	f	2073.5	f	N
Na	11	1635.8	0.2	8.6	0.8	f	23Na	f	2076	f	N
Na	11	1772.5	1.0	0.8	0.15	f	23Na	f	3848.5	f	N
Na	11	1839.3	1.5	0.1	0.05	f	23Na	f	3915	f	N
Na	11	1951.0	0.4	1.1	0.3	f	23Na	f	2390.9	f	N
Na	11	2075.3	0.6	0.85	0.1	f	23Na	f	2076	f	N
Na	11	2263.2	0.5	1.2	0.2	f	23Na	f	2703.5	f	N
Na	11	2390.6	0.5	1.8	0.2	f	23Na	f	2390.9	f	N
Na	11	2542.0	0.5	1.1	0.2	f	23Na	f	2982.2	f	N
Na	11	2640.1	0.5	2.0	0.4	f	23Na	f	2640.3	f	N
Na	11	2698.1	1.0	0.15	0.05	f	23Na	f	4774.3	f	N
Na	11	2981.7	1.0	1.4	0.2	f	23Na	f	2982.2	f	N
Na	11	3238.2	1.2	0.9	0.15	f	23Na	f	3678.5	f	N
Na	11	3848.2	1.5	0.2	0.08	f	23Na	f	3848.5	f	N
Na	11	3914.8	1.8	0.45	0.15	f	23Na	f	3913.8	f	N
Na	11	4334.0	2.0	0.4	0.1	f	23Na	f	4774.3	f	N
Na	11	4430.4	1.2	0.35	0.1	f	23Na	f	4430.9	f	N
