X	Palladium106	46	Pd	56.940	15.215	511.8	106	7.4	23.3	96.3	Pd	106Pd
106Pd	46	221.0	0.2	0.23	0.02	f	106Pd	f	2305.5	f	E
106Pd	46	370.0	0.2	0.46	0.05	f	106Pd	f	1931.8	f	E
106Pd	46	392.7	0.2	0.48	0.05	f	106Pd	f	?	u	E
106Pd	46	429.84	0.1	3.14	0.19	f	106Pd	f	1557.7	f	E
106Pd	46	471.5	0.2	0.27	0.02	f	106Pd	f	2472.6	f	E
106Pd	46	511.8	0.1	100.0	0.0	f	106Pd	f	511.8	f	E
106Pd	46	578.1	0.2	0.13	0.01	f	106Pd	f	1706.1	f	E
106Pd	46	616.1	0.1	14.9	0.8	f	106Pd	f	1127.9	f	E
106Pd	46	621.84	0.1	5.2	0.4	f	106Pd	f	1133.6	f	E
106Pd	46	659.3	0.3	0.1	0.02	f	106Pd	f	2591.1	f	E
106Pd	46	680.0	0.2	0.57	0.08	f	106Pd	f	2242.4	f	E
106Pd	46	685.0	0.3	0.2	0.02	f	106Pd	f	2242.4	f	E
106Pd	46	702.8	0.2	0.42	0.05	f	106Pd	f	1931.8	f	E
106Pd	46	717.19	0.1	10.0	0.6	f	106Pd	f	1229.0	f	E
106Pd	46	748.1	0.2	0.93	0.02	f	106Pd	f	2305.5	f	E
106Pd	46	781.6	0.5	0.038	0.012	f	106Pd	f	1909.4	f	E
106Pd	46	792.9	0.2	0.25	0.04	f	106Pd	f	2350.6	f	E
106Pd	46	803.9	0.2	0.84	0.08	f	106Pd	f	1931.8	f	E
106Pd	46	808.3	0.2	0.37	0.04	f	106Pd	f	2366.0	f	E
106Pd	46	825.6	0.4	0.064	0.015	f	106Pd	f	?	u	E
106Pd	46	847.5	0.0	0.79	0.24	md	106Pd	f	2076.1	f	E
106Pd	46	847.5	0.0	0.79	0.24	md	106Pd	f	2078.1	f	E
106Pd	46	873.2	0.2	0.58	0.06	f	106Pd	f	2001.1	f	E
106Pd	46	937.3	0.4	0.055	0.014	f	106Pd	f	2499.6	f	E
106Pd	46	949.5	0.6	0.024	0.01	f	106Pd	f	?	u	E
106Pd	46	956.1	0.3	0.17	0.03	f	106Pd	f	2084.2	f	E
106Pd	46	975.0	0.6	0.034	0.01	f	106Pd	f	?	u	E
106Pd	46	1020.7	0.3	0.18	0.03	f	106Pd	f	2578.4	f	E
106Pd	46	1045.9	0.2	5.2	0.4	f	106Pd	f	1557.7	f	E
106Pd	46	1050.5	0.2	4.7	0.4	f	106Pd	f	1562.3	f	E
106Pd	46	1055.3	0.5	0.41	0.1	f	106Pd	f	2284.3	f	E
106Pd	46	1086.5	0.5	0.047	0.013	f	106Pd	f	2649.0	f	E
106Pd	46	1114.7	0.7	0.3	0.1	f	106Pd	f	2242.4	f	E
106Pd	46	1127.9	0.2	4.9	0.4	f	106Pd	f	1127.9	f	E
106Pd	46	1150.2	0.7	0.038	0.015	f	106Pd	f	2278.5	f	E
106Pd	46	1156.3	0.4	0.08	0.02	f	106Pd	f	2284.3	f	E
106Pd	46	1168.2	0.2	1.08	0.1	f	106Pd	f	?	u	E
106Pd	46	1180.4	0.3	0.25	0.03	f	106Pd	f	2308.8	f	E
106Pd	46	1194.4	0.2	0.94	0.1	f	106Pd	f	1706.1	f	E
106Pd	46	1217.0	0.3	0.19	0.04	f	106Pd	f	2774.7	f	E
106Pd	46	1222.7	0.3	0.24	0.05	f	106Pd	f	2350.6	f	E
106Pd	46	1272.4	0.3	0.33	0.04	f	106Pd	f	2400.9	f	E
106Pd	46	1303.4	0.4	0.11	0.03	f	106Pd	f	2861.0	f	E
106Pd	46	1349.3	0.3	0.36	0.04	f	106Pd	f	2578.4	f	E
106Pd	46	1371.7	0.3	0.37	0.04	f	106Pd	f	2499.6	f	E
106Pd	46	1397.4	0.2	1.32	0.13	f	106Pd	f	1909.4	f	E
106Pd	46	1417.3	0.4	0.11	0.02	f	106Pd	f	?	u	E
106Pd	46	1498.4	0.2	0.27	0.03	f	106Pd	f	2626.4	f	E
106Pd	46	1523.2	0.2	0.28	0.03	f	106Pd	f	?	u	E
106Pd	46	1546.3	0.6	0.069	0.015	f	106Pd	f	?	u	E
106Pd	46	1562.4	0.2	0.5	0.05	f	106Pd	f	1562.3	f	E
106Pd	46	1566.3	0.4	0.3	0.08	f	106Pd	f	2078.1	f	E
106Pd	46	1572.39	0.1	2.5	0.3	f	106Pd	f	2084.2	f	E
106Pd	46	1602.2	1.2	0.02	0.01	f	106Pd	f	3161.1	f	E
106Pd	46	1616.4	0.6	0.061	0.018	f	106Pd	f	3173.7	f	E
106Pd	46	1621.3	0.4	0.09	0.017	f	106Pd	f	2850.3	f	E
106Pd	46	1631.7	0.6	0.057	0.013	f	106Pd	f	2861.0	f	E
106Pd	46	1648.4	0.0	0.23	0.03	m	106Pd	f	2774.7	f	E
106Pd	46	1668.8	0.7	0.058	0.013	f	106Pd	f	2897.8	f	E
106Pd	46	1678.4	0.7	0.064	0.013	f	106Pd	f	?	u	E
106Pd	46	1766.7	0.4	0.2	0.03	f	106Pd	f	2278.5	f	E
106Pd	46	1792.8	0.7	0.11	0.03	f	106Pd	f	?	u	E
106Pd	46	1797.1	0.3	0.39	0.05	f	106Pd	f	2308.8	f	E
106Pd	46	1838.6	1.0	0.02	0.01	f	106Pd	f	2350.6	f	E
106Pd	46	1868.2	0.7	0.069	0.013	f	106Pd	f	?	u	E
106Pd	46	1889.7	0.4	0.17	0.04	f	106Pd	f	2400.9	f	E
106Pd	46	1909.5	0.3	0.46	0.05	f	106Pd	f	1909.4	f	E
106Pd	46	1927.2	0.3	0.31	0.04	f	106Pd	f	2439.4	f	E
106Pd	46	1973.1	1.0	0.038	0.018	f	106Pd	f	2484.7	f	E
106Pd	46	1988.3	0.3	0.5	0.05	f	106Pd	f	2500.1	f	E
106Pd	46	2019.4	0.9	0.051	0.012	f	106Pd	f	?	u	E
106Pd	46	2034.3	0.9	0.05	0.012	f	106Pd	f	?	u	E
106Pd	46	2045.1	0.9	0.066	0.015	f	106Pd	f	3173.7	f	E
106Pd	46	2095.2	0.9	0.057	0.014	f	106Pd	f	?	u	E
106Pd	46	2114.7	0.5	0.13	0.02	f	106Pd	f	2626.4	f	E
106Pd	46	2193.3	0.4	0.15	0.02	f	106Pd	f	2705.5	f	E
106Pd	46	2212.1	1.4	0.03	0.014	f	106Pd	f	?	u	E
106Pd	46	2229.5	1.0	0.056	0.014	f	106Pd	f	2740.9	f	E
106Pd	46	2236.3	0.4	0.17	0.02	f	106Pd	f	2748.1	f	E
106Pd	46	2243.5	0.7	0.056	0.02	f	106Pd	f	2242.4	f	E
106Pd	46	2272.3	0.4	0.108	0.017	f	106Pd	f	2784.1	f	E
106Pd	46	2309.2	0.4	0.089	0.015	d	106Pd	f	2308.8	f	E
106Pd	46	2309.2	0.4	0.089	0.015	d	106Pd	f	2820.6	f	E
106Pd	46	2315.9	0.7	0.044	0.012	f	106Pd	f	?	u	E
106Pd	46	2374.6	0.7	0.051	0.013	f	106Pd	f	2886.4	f	E
106Pd	46	2391.0	0.4	0.099	0.016	f	106Pd	f	2902.8	f	E
106Pd	46	2396.8	0.7	0.066	0.015	f	106Pd	f	2908.6	f	E
106Pd	46	2406.2	0.7	0.051	0.012	f	106Pd	f	2918.0	f	E
106Pd	46	2424.1	0.6	0.076	0.015	f	106Pd	f	2935.9	f	E
106Pd	46	2439.7	0.4	0.112	0.019	f	106Pd	f	2439.4	f	E
106Pd	46	2457.9	0.3	0.27	0.03	f	106Pd	f	2969.7	f	E
106Pd	46	2484.7	0.3	0.48	0.05	f	106Pd	f	2484.7	f	E
106Pd	46	2543.0	0.7	0.051	0.013	f	106Pd	f	3054.8	f	E
106Pd	46	2558.0	0.6	0.081	0.015	f	106Pd	f	3069.8	f	E
106Pd	46	2571.3	0.6	0.06	0.014	f	106Pd	f	3083.1	f	E
106Pd	46	2608.1	1.0	0.038	0.013	f	106Pd	f	3119.9	f	E
